name,add,Latitude,Longitude,Document
Keelesdale North Park,415 Black Creek Dr,43.68998545400,-79.48170814500,Water Fountains
Keelesdale South Park,2855 Eglinton Ave W,43.68784562100,-79.47918881600,Water Fountains
Rainbow Park,182 Rory Rd,43.72041748400,-79.48361982100,Water Fountains
Runnymede Park,221 Ryding Ave,43.66892448200,-79.47736421900,Water Fountains
Rustic Park,35 Raven Rd,43.71317835300,-79.50442354900,Water Fountains
Smythe Park,61 Black Creek Blvd,43.67635178900,-79.49792633300,Water Fountains
Smythe Park,61 Black Creek Blvd,43.67461645300,-79.49708074200,Water Fountains
Wallace C. Swanek Park,241 Gary Dr,43.70870414500,-79.52269216600,Water Fountains
Westlake Park,86 Jasper Ave,43.68213335500,-79.48659430100,Water Fountains
Weston Lions Park,2125 Lawrence Ave W,43.69806202000,-79.51941544400,Water Fountains
Home Smith Park,4101 Dundas St W,43.65908791500,-79.50119079300,Water Fountains
Humber Bay Park East,100 Humber Bay Park Rd W,43.62018946300,-79.47582488600,Water Fountains
Humber Bay Park East,100 Humber Bay Park Rd W,43.62249349100,-79.47549081900,Water Fountains
Lambton - Kingsway Park,37 Marquis Ave,43.65808379300,-79.50766901000,Water Fountains
Lora Hill Park,36 Fernalroy Blvd,43.63830571600,-79.51424424700,Water Fountains
Norseman Heights Park,38 Velma Dr,43.63362867900,-79.51486421100,Water Fountains
Tom Riley Park,4725 Dundas St W,43.65019646300,-79.52462133400,Water Fountains
Tom Riley Park,4725 Dundas St W,43.64884345500,-79.52497103400,Water Fountains
Ward's Island Park,1 Centre Island Pk,43.63123905400,-79.35720543500,Water Fountains
Ward's Island Park,1 Centre Island Pk,43.62555692900,-79.35908591800,Water Fountains
Island Park,9 Queens QuayW,43.62328227300,-79.36280929400,Water Fountains
Island Park,9 Queens QuayW,43.61695124700,-79.37236494300,Water Fountains
Island Park,9 Queens QuayW,43.61873091300,-79.37364950800,Water Fountains
Island Park,9 Queens QuayW,43.61747795100,-79.37551695100,Water Fountains
Hanlan's Point Park,9 Queens QuayW,43.61719638200,-79.39145422300,Water Fountains
Hanlan's Point Park,9 Queens QuayW,43.61502603700,-79.38995497200,Water Fountains
Hanlan's Point Park,9 Queens QuayW,43.62182476100,-79.39143816600,Water Fountains
Irving W. Chapley Park,205 Wilmington Ave,43.76191967000,-79.45578948900,Water Fountains
Pinto Park,21 Pinto Dr,43.79146156300,-79.34052862800,Water Fountains
Sentinel Park,295 Sentinel Rd,43.75437424100,-79.49890624700,Water Fountains
Banbury Park,120 Banbury Rd,43.74264941800,-79.36977136600,Water Fountains
Colonel Danforth Park,73 Colonel Danforth Trl,43.78033586100,-79.17863253200,Water Fountains
Bayview Village Park,2945 Bayview Ave,43.77241054400,-79.38885048200,Water Fountains
Willowdale Park,75 Hollywood Ave,43.76623903500,-79.40753677400,Water Fountains
Willowdale Park,75 Hollywood Ave,43.76320133500,-79.40407270100,Water Fountains
Princess Park,0 Doris Ave,43.76872861400,-79.41076457800,Water Fountains
Avondale Park,15 Humberstone Dr,43.75723410600,-79.40717725900,Water Fountains
G. Ross Lord Park,4801 Dufferin St,43.77995312000,-79.46390499600,Water Fountains
G. Ross Lord Park,4801 Dufferin St,43.78005593300,-79.46592186800,Water Fountains
G. Ross Lord Park,4801 Dufferin St,43.77932778100,-79.46753123300,Water Fountains
Ionview Park,110 Ionview Rd,43.73878188700,-79.27547595300,Water Fountains
Thomson Memorial Park,1005 Brimley Rd,43.75520788800,-79.25392019500,Water Fountains
Goldhawk Park,250 Goldhawk Trl,43.82110553200,-79.27867858400,Water Fountains
Esther Lorrie Park,50 Westhumber Blvd,43.72716728700,-79.57975261300,Water Fountains
Kingsview Park,46 Kingsview Blvd,43.69909790800,-79.55451870700,Water Fountains
Martin Grove Gardens Park,31 Lavington Dr,43.68939014100,-79.56305548200,Water Fountains
Silver Creek Park,44 Strathdee Dr,43.68179994100,-79.54433286400,Water Fountains
Westway Park,175 The Westway,43.68739473700,-79.54206369400,Water Fountains
Wincott Park,86 Northcrest Rd,43.69226830800,-79.55134014100,Water Fountains
Earlscourt Park,1200 Lansdowne Ave,43.67422145900,-79.45142506400,Water Fountains
Earlscourt Park,1200 Lansdowne Ave,43.67442818800,-79.45350814000,Water Fountains
Maria Street Parkette,270 Maria St,43.66650300200,-79.48055846900,Water Fountains
Ormskirk Park,33 Ormskirk Crt,43.64078309300,-79.47567137400,Water Fountains
Chestnut Hills Park,1391 Islington Ave,43.65572459500,-79.52720991000,Water Fountains
Albion Gardens Park,41 Deanlea Crt,43.73941990900,-79.55827282100,Water Fountains
Apted Park,50 Apted Ave,43.75536435200,-79.57722918500,Water Fountains
Bluehaven Park,19 Bluehaven Cres,43.74535498000,-79.55671353700,Water Fountains
Firgrove Park,254 Firgrove Cres,43.75185972200,-79.52098376300,Water Fountains
Gord And Irene Risk Park,2650 Finch Ave W,43.74738999500,-79.56755475700,Water Fountains
Gracedale Park,186 Gracedale Blvd,43.75250993400,-79.56135834100,Water Fountains
Strathburn Park,55 Strathburn Blvd,43.72170069600,-79.53224188800,Water Fountains
Centennial Park - Etobicoke,256 Centennial Park Rd,43.65207022400,-79.59020463500,Water Fountains
Toronto Music Garden,479 Queens QuayW,43.63693436400,-79.39268434100,Water Fountains
Albert Crosland Parkette,14 Fuller Ave,43.64063973400,-79.43958827700,Water Fountains
Beaty Avenue Parkette,66 Beaty Ave,43.63848630900,-79.44089859900,Water Fountains
Beaty Boulevard Parkette,1575 King St W,43.63745075700,-79.44337279500,Water Fountains
Chelsea Avenue Playground,103 Chelsea Ave,43.65758222100,-79.45591253300,Water Fountains
Close Avenue Parkette,116 Close Ave,43.63704578800,-79.43489586800,Water Fountains
Columbus Parkette,1985 Dundas St W,43.65104663600,-79.44601780200,Water Fountains
Dundas - Watkinson Parkette,2742 Dundas St W,43.66520809200,-79.46074847300,Water Fountains
Erwin Krickhahn Park,121 Rankin Cres,43.65903479800,-79.44610646400,Water Fountains
Melbourne Avenue Parkette,7 Melbourne Ave,43.64036648700,-79.42859768200,Water Fountains
Mccormick Park,66 Sheridan Ave,43.64668705700,-79.43374349900,Water Fountains
Perth Avenue Parkette,160 Perth Ave,43.65880758600,-79.44977920000,Water Fountains
Sorauren Avenue Park,289 Sorauren Ave,43.64915334000,-79.44283994600,Water Fountains
Sorauren Avenue Park,289 Sorauren Ave,43.64884701900,-79.44413119300,Water Fountains
Spencer - Cowan Parkette,80 Spencer Ave,43.63637087500,-79.43061017600,Water Fountains
Susan Tibaldi Parkette,620 Brock Ave,43.65952777700,-79.43976165900,Water Fountains
Wallace Emerson Park,1260 Dufferin St,43.66637596600,-79.44260364400,Water Fountains
Balmy Beach Park,1 Beech Ave,43.67034810900,-79.28455414400,Water Fountains
Cassels Avenue Playground,69 Cassels Ave,43.67995793800,-79.30669612800,Water Fountains
Joel Weeks Park,10 Thompson St,43.65943064800,-79.35292183400,Water Fountains
East Lynn Park,1949 Danforth Ave,43.68420610100,-79.31547937800,Water Fountains
June Rowlands Park,220 Davisville Ave,43.70103696100,-79.38820305900,Water Fountains
Dieppe Park,455 Cosburn Ave,43.69236603800,-79.33557644500,Water Fountains
Gamble Park,150 Gamble Ave,43.69111122700,-79.34709184300,Water Fountains
Logan Avenue Parkette,916 Logan Ave,43.67869199000,-79.35006401400,Water Fountains
